Occupation1,Total_Fatalities,Violence_and_other_injuries_by_persons_or_animals,Transportation_incidents,Fires_and_explosions,Falls_slips_trips,Exposure_to_harmful_substances_or_environments,Contact_with_objects_and_equipment
 , , , , , , , 
      Total,"5,190",866,"2,083",88,849,518,761
 , , , , , , , 
     Management occupations,377,95,142,6,32,20,79
          Top executives,13,8,4,--,--,--,--
               Chief executives,10,6,3,--,--,--,--
                    Chief executives,10,6,3,--,--,--,--
               Legislators,1,--,1,--,--,--,--
                    Legislators,1,--,1,--,--,--,--
"          Advertising, marketing, promotions, public relations, and sales 
              managers",5,--,--,--,--,--,--
               Marketing and sales managers,4,--,--,--,--,--,--
                    Sales managers,4,--,--,--,--,--,--
          Operations specialties managers,23,8,5,--,--,4,3
               Administrative services managers,4,3,--,--,--,1,--
                    Administrative services managers,4,3,--,--,--,1,--
               Computer and information systems managers,3,--,1,--,--,--,--
                    Computer and information systems managers,3,--,1,--,--,--,--
               Financial managers,3,--,2,--,--,--,--
                    Financial managers,3,--,2,--,--,--,--
               Industrial production managers,3,--,--,--,--,--,--
                    Industrial production managers,3,--,--,--,--,--,--
"               Transportation, storage, and distribution managers",8,--,--,--,--,--,--
"                    Transportation, storage, and distribution managers",8,--,--,--,--,--,--
          Other management occupations,336,77,132,6,28,15,76
"               Farmers, ranchers, and other agricultural managers",260,31,116,6,22,11,72
"                    Farmers, ranchers, and other agricultural managers",260,31,116,6,22,11,72
               Construction managers,3,--,3,--,--,--,--
                    Construction managers,3,--,3,--,--,--,--
               Education administrators,4,1,--,--,--,--,1
"                    Education administrators, elementary and secondary 
                        school",2,1,--,--,--,--,1
               Architectural and engineering managers,4,--,--,--,--,--,--
                    Architectural and engineering managers,4,--,--,--,--,--,--
               Food service managers,23,18,3,--,--,--,--
                    Food service managers,23,18,3,--,--,--,--
               Lodging managers,3,--,1,--,--,--,--
                    Lodging managers,3,--,1,--,--,--,--
               Medical and health services managers,3,1,--,--,--,--,--
                    Medical and health services managers,3,1,--,--,--,--,--
"               Property, real estate, and community association managers",23,15,--,--,4,3,1
"                    Property, real estate, and community association 
                        managers",23,15,--,--,4,3,1
               Miscellaneous managers,10,4,4,--,--,--,--
     Business and financial operations occupations,27,9,14,--,3,--,--
          Business operations specialists,14,4,7,--,--,--,--
               Buyers and purchasing agents,1,1,--,--,--,--,--
"                    Purchasing agents, except wholesale, retail, and farm 
                        products",1,1,--,--,--,--,--
               Compliance officers ,--,1,--,--,--,--,--
                    Compliance officers ,--,1,--,--,--,--,--
               Management analysts,6,--,3,--,--,--,--
                    Management analysts,6,--,3,--,--,--,--
          Financial specialists,13,5,7,--,--,--,--
               Accountants and auditors,7,--,--,--,--,--,--
                    Accountants and auditors,7,--,--,--,--,--,--
               Financial analysts and advisors,5,--,--,--,--,--,--
                    Financial analysts,1,--,1,--,--,--,--
                    Personal financial advisors,--,1,--,--,--,--,--
               Miscellaneous financial specialists,1,--,1,--,--,--,--
     Computer and mathematical occupations,16,5,6,--,--,--,--
          Computer specialists,16,5,6,--,--,--,--
               Computer occupations,16,5,6,--,--,--,--
               Computer and information analysts,4,1,--,--,--,--,--
                    Computer systems analysts,3,1,--,--,--,--,--
               Software developers and programmers,5,--,--,--,--,--,--
                    Computer programmers,1,1,--,--,--,--,--
"                    Software developers, systems software",3,--,--,--,--,--,--
               Database and systems administrators and network architects,3,--,--,--,--,--,--
